Character Name,Gender of Content Person,Title,Content Person ID,Book Name,Name of Play
Bhima,Male,"""Bhima and Kichaka""",AUTH325784,,
Bhima,Male,"""Bhima and Duhshashana""",AUTH325784,,
Bhima,Male,"""A battle scene - Karna and Bhima""",AUTH325784,,
Bhima,Male,"""Bhima and Aswathama""",AUTH325784,,
Bhima,Male,"""Bhima and Jarasandha""",AUTH325784,,
Bhima,Male,"""Bhima and Duryodhana""",AUTH325784,,
Bhima,Male,"""Bhima""",AUTH325784,,
Kichaka,Male,"""Bhima and Kichaka""",,,
Sakuntala ,Female,"""Sakuntala and King Dushyanta""",,,The Recognition of Sakuntala
King Dushyanta,Male,"""Sakuntala and King Dushyanta""",,,The Recognition of Sakuntala
Sage Kanva,Male,"""Sakuntala and King Dushyanta""",,,The Recognition of Sakuntala
Pandavas ,Male,"""Krishna""",,,
Pandavas ,Male,"""A gathering of nobles""",,,
Pandavas ,Male,"""Yudhisthira""",,,
Draupadi ,Female,"""Krishna""",,,
Draupadi ,Female,"""A gathering of nobles""",,,
Draupadi ,Female,"""Draupadi""",,,
Kauravas,Male,"""Krishna""",,,
Kauravas,Male,"""A gathering of nobles""",,,
Kauravas,Male,"""Duryodhana and Salya""",,,
Krishna,Male,"""Krishna at Rest - An episode from the Mahabharata""",N748,,
Krishna,Male,"""Krishna""",N748,,
Krishna,Male,"""Krishna and Kamsa""",N748,,
Duryodhana ,Male,"""Krishna at Rest - An episode from the Mahabharata""",,,
Duryodhana ,Male,"""Duryodhana and Salya""",,,
Duryodhana ,Male,"""Draupadi""",,,
Duryodhana ,Male,"""Bhima and Duryodhana""",,,
Arjuna,Male,"""Krishna at Rest - An episode from the Mahabharata""",,,
Shuka/Suka/Sukadeva,Male,"""Vyasa and Shuka""",,,
Shuka/Suka/Sukadeva,Male,"""Narada and Suka""",,,
Narada,Male,"""Narada and Suka""",,,
Bhishma,Male,"""Bhisma""",,,
Yudhisthira ,Male,"""Three males in conference""",,,
Yudhisthira ,Male,"""Yudhisthira""",,,
Yudhisthira ,Male,"""Rajasuya""",,,
Yudhisthira ,Male,"""Bhisma""",,,
King Virata,Male,"""Three males in conference""",,,
Brahmin Kanka ,Male,"""Three males in conference""",,,
Salya/ Shalya,Male,"""Duryodhana and Salya""",,,
Karna,Male,"""A gathering of nobles""",,,
Karna,Male,"""Duryodhana and Salya""",,,
Karna,Male,"""A battle scene -Karna and Bhima""",,,
King Drupada,Male,"""A gathering of nobles""",,,
King Nala ,Male,"""Nala and Damayanti""",,,
Damayanti ,Female,"""Nala and Damayanti""",,,
Duhshashana ,Male,"""Duhshashana and Bhagadatta""",AUTH326701,,
Duhshashana ,Male,"""Bhima and Duhshashana""",AUTH326701,,
Bhagadatta,Male,"""Duhshashana and Bhagadatta""",,,
Savitri,Female,"""Savitri and Yama""",,,
Yama,Male,"""Savitri and Yama""",,,
Satyavan,Male,"""Savitri and Yama""",,,
Ushna/ Shukracharya,Male,"""Ushna and Jayadratha""",,,
Jayadratha,Male,"""Ushna and Jayadratha""",,,
Kamsa,Male,"""Krishna and Kamsa""",,,
Ashwatthama,Male,"""Bhima and Aswathama""",,,
Jarasandha,Male,"""Bhima and Jarasandha""",,,
Vyasa,Male,"""Vyasa and Shuka""",,,
Vyasa,Male,,,Virata Parva,
Vyasa,Male,,,Virata Parva,
Vyasa,Male,,,Adi Parva,
Vyasa,Male,,,Adi Parva,
Vyasa,Male,,,Sabha Parva,
Vyasa,Male,,,Sabha Parva,
Vyasa,Male,,,Sabha Parva,
Vyasa,Male,,,Sabha Parva,
Vyasa,Male,,,Udyoga Parva,
Vyasa,Male,,,Udyoga Parva,
Vyasa,Male,,,Shanti Parva,
Vyasa,Male,,,Shalya Parva,
Vyasa,Male,,,Shalya Parva,
Vyasa,Male,,,Vana Parva,
Vyasa,Male,,,Vana Parva,
Vyasa,Male,,,Karna Parva,
Vyasa,Male,,,Karna Parva,
Vyasa,Male,,,Bhishma Parva,
