Character Name,Gender of Content Person,Title,Content Person ID,Book Name,Name of Play
Bhima,Male,"""Bhima and Kichaka""",AUTH325784,Virata Parva,
Bhima,Male,"""Bhima and Duhshashana""",AUTH325784,Karna Parva,
Bhima,Male,"""A battle scene - Karna and Bhima""",AUTH325784,,
Bhima,Male,"""Bhima and Aswathama""",AUTH325784,Karna Parva,
Bhima,Male,"""Bhima and Jarasandha""",AUTH325784,Sabha Parva,
Bhima,Male,"""Bhima and Duryodhana""",AUTH325784,Shalya Parva,
Bhima,Male,"""Bhima""",AUTH325784,,
Kichaka,Male,"""Bhima and Kichaka""",,Virata Parva,
Sakuntala ,Female,"""Sakuntala and King Dushyanta""",,Adi Parva,The Recognition of Sakuntala
King Dushyanta,Male,"""Sakuntala and King Dushyanta""",,Adi Parva,The Recognition of Sakuntala
Sage Kanva,Male,"""Sakuntala and King Dushyanta""",,Adi Parva,The Recognition of Sakuntala
Pandavas ,Male,"""Krishna""",,Sabha Parva,
Pandavas ,Male,"""A gathering of nobles""",,Adi Parva,
Pandavas ,Male,"""Yudhisthira""",,Udyoga Parva,
Draupadi ,Female,"""Krishna""",,Sabha Parva,
Draupadi ,Female,"""A gathering of nobles""",,Adi Parva,
Draupadi ,Female,"""Draupadi""",,Sabha Parva,
Kauravas,Male,"""Krishna""",,Sabha Parva,
Kauravas,Male,"""A gathering of nobles""",,Adi Parva,
Kauravas,Male,"""Duryodhana and Salya""",,Shalya Parva,
Krishna,Male,"""Krishna at Rest - An episode from the Mahabharata""",N748,Udyoga Parva,
Krishna,Male,"""Krishna""",N748,Sabha Parva,
Krishna,Male,"""Krishna and Kamsa""",N748,Harivamsa,
Duryodhana ,Male,"""Krishna at Rest - An episode from the Mahabharata""",,Udyoga Parva,
Duryodhana ,Male,"""Duryodhana and Salya""",,Shalya Parva,
Duryodhana ,Male,"""Draupadi""",,Sabha Parva,
Duryodhana ,Male,"""Bhima and Duryodhana""",,Shalya Parva,
Arjuna,Male,"""Krishna at Rest - An episode from the Mahabharata""",,Udyoga Parva,
Shuka/Suka/Sukadeva,Male,"""Vyasa and Shuka""",,,
Shuka/Suka/Sukadeva,Male,"""Narada and Suka""",,Shanti Parva,
Narada,Male,"""Narada and Suka""",,Shanti Parva,
Bhishma,Male,"""Bhisma""",,Bhishma Parva,
Yudhisthira ,Male,"""Three males in conference""",,Virata Parva,
Yudhisthira ,Male,"""Yudhisthira""",,Udyoga Parva,
Yudhisthira ,Male,"""Rajasuya""",,Sabha Parva,
Yudhisthira ,Male,"""Bhisma""",,Bhishma Parva,
King Virata,Male,"""Three males in conference""",,Virata Parva,
Brahmin Kanka ,Male,"""Three males in conference""",,Virata Parva,
Salya/ Shalya,Male,"""Duryodhana and Salya""",,Shalya Parva,
Karna,Male,"""A gathering of nobles""",,,
Karna,Male,"""Duryodhana and Salya""",,Shalya Parva,
Karna,Male,"""A battle scene -Karna and Bhima""",,,
King Drupada,Male,"""A gathering of nobles""",,,
King Nala ,Male,"""Nala and Damayanti""",,Vana Parva,
Damayanti ,Female,"""Nala and Damayanti""",,Vana Parva,
Duhshashana ,Male,"""Duhshashana and Bhagadatta""",AUTH326701,,
Duhshashana ,Male,"""Bhima and Duhshashana""",AUTH326701,Karna Parva,
Bhagadatta,Male,"""Duhshashana and Bhagadatta""",,,
Savitri,Female,"""Savitri and Yama""",,Vana Parva,
Yama,Male,"""Savitri and Yama""",,Vana Parva,
Satyavan,Male,"""Savitri and Yama""",,Vana Parva,
Ushna/ Shukracharya,Male,"""Ushna and Jayadratha""",,,
Jayadratha,Male,"""Ushna and Jayadratha""",,,
Kamsa,Male,"""Krishna and Kamsa""",,Harivamsa,
Ashwatthama,Male,"""Bhima and Aswathama""",,Karna Parva,
Jarasandha,Male,"""Bhima and Jarasandha""",,Sabha Parva,
Vyasa,Male,"""Vyasa and Shuka""",,,
Vyasa,Male,,,,
Vyasa,Male,,,,
Vyasa,Male,,,,
Vyasa,Male,,,,
Vyasa,Male,,,,
Vyasa,Male,,,,
Vyasa,Male,,,,
Vyasa,Male,,,,
Vyasa,Male,,,,
Vyasa,Male,,,,
Vyasa,Male,,,,
Vyasa,Male,,,,
Vyasa,Male,,,,
Vyasa,Male,,,,
Vyasa,Male,,,,
Vyasa,Male,,,,
Vyasa,Male,,,,
Vyasa,Male,,,,
