Character Name,Location Name
Bhima,Indraprastha
Bhima,Kamyaka Forest
Bhima,Upaplavya
Kichaka,Matsya Kingdom
King Dushyanta,Hastinapur
Pandavas ,Indraprastha
Pandavas ,Kamyaka Forest
Pandavas ,Upaplavya
Draupadi ,Panchala
Draupadi ,Indraprastha
Draupadi ,Kamyaka Forest
Draupadi ,Upaplavya
Kauravas,Hastinapur
Krishna,Dwarka
Krishna,Mathura
Duryodhana ,Hastinapur
Arjuna,Indraprastha
Arjuna,Kamyaka Forest
Arjuna,Upaplavya
Bhishma,Hastinapur
Yudhisthira ,Indraprastha
Yudhisthira ,Kamyaka Forest
Yudhisthira ,Upaplavya
King Virata,Matsya Kingdom
Brahmin Kanka ,Matsya Kingdom
Salya/ Shalya,Madra Kingdom
King Drupada,Panchala
King Nala ,Nishadha Kingdom
Damayanti ,Vidarbha Kingdom
Duhshashana ,Hastinapur
Bhagadatta,Kamrup / Pragjyotisha
Savitri,Madra Kingdom
Satyavan,Shalva / Salwa Kingdom
Jayadratha,Sindhu Kingdom
Kamsa,Mathura
Ashwatthama,Panchala
Jarasandha,Magadha Kingdom
