"path","value"
"meta/version","2.0"
"meta/images/_primary_thumbnail","https://framemark.vam.ac.uk/collections/2013GD5463/full/!100,100/0/default.jpg"
"meta/images/_iiif_image","https://framemark.vam.ac.uk/collections/2013GD5463/"
"meta/images/imageResolution","high"
"meta/images/_images_meta/0/assetRef","2013GD5463"
"meta/images/_images_meta/0/copyright","© Victoria and Albert Museum, London"
"meta/images/_images_meta/0/sensitiveImage","false"
"meta/images/_images_meta/1/assetRef","2013GD5497"
"meta/images/_images_meta/1/copyright","© Victoria and Albert Museum, London"
"meta/images/_images_meta/1/sensitiveImage","false"
"meta/images/_images_meta/2/assetRef","2017KL4398"
"meta/images/_images_meta/2/copyright","©Victoria and Albert Museum, London"
"meta/images/_images_meta/2/sensitiveImage","false"
"meta/see_also/_iiif_pres","https://iiif.vam.ac.uk/collections/O433075/manifest.json"
"record/systemNumber","O433075"
"record/accessionNumber","IS.131-1951"
"record/objectType","Painting"
"record/titles/0/title","Draupadi"
"record/titles/0/type","generic title"
"record/summaryDescription",""
"record/physicalDescription","Painting, opaque watercolour on paper, depicting the unveiling of Draupadi, from the <i>Mahabharata</i>. King Duryodhana tries to disrobe Draupadi, but, having prayed to Krishna, her sari keeps extending."
"record/artistMakerPerson/0/name/text","Unknown"
"record/artistMakerPerson/0/name/id","A1848"
"record/artistMakerPerson/0/association/text",""
"record/artistMakerPerson/0/association/id",""
"record/artistMakerPerson/0/note",""
"record/materials/0/text","opaque watercolour"
"record/materials/0/id","x35013"
"record/materials/1/text","paint"
"record/materials/1/id","AAT15029"
"record/materials/2/text","paper"
"record/materials/2/id","AAT14109"
"record/techniques/0/text","painted"
"record/techniques/0/id","x30138"
"record/materialsAndTechniques","Painted in opaque watercolour on paper"
"record/categories/0/text","Paintings"
"record/categories/0/id","THES48917"
"record/categories/1/text","Hinduism"
"record/categories/1/id","THES48941"
"record/categories/2/text","Religion"
"record/categories/2/id","THES48900"
"record/categories/3/text","Bonita Trust Indian Paintings Cataloguing Project"
"record/categories/3/id","THES263148"
"record/styles/0/text","Guler"
"record/styles/0/id","AAT19007"
"record/styles/1/text","Pahari"
"record/styles/1/id","AAT18997"
"record/collectionCode/text","SSEA"
"record/collectionCode/id","THES48598"
"record/images/0","2013GD5463"
"record/images/1","2013GD5497"
"record/images/2","2017KL4398"
"record/imageResolution","high"
"record/galleryLocations/0/current/text","SRP"
"record/galleryLocations/0/current/id","THES49620"
"record/galleryLocations/0/free",""
"record/galleryLocations/0/case",""
"record/galleryLocations/0/shelf",""
"record/galleryLocations/0/box","131A"
"record/partTypes/0/0/text","painting"
"record/partTypes/0/0/id","AAT33618"
"record/contentWarnings/0/apprise",""
"record/contentWarnings/0/note",""
"record/placesOfOrigin/0/place/text","Guler"
"record/placesOfOrigin/0/place/id","x32750"
"record/placesOfOrigin/0/association/text","made"
"record/placesOfOrigin/0/association/id","x28654"
"record/placesOfOrigin/0/note",""
"record/productionDates/0/date/text","ca. 1740"
"record/productionDates/0/date/earliest","1735-01-01"
"record/productionDates/0/date/latest","1744-12-31"
"record/productionDates/0/association/text","made"
"record/productionDates/0/association/id","x28654"
"record/productionDates/0/note",""
"record/creditLine","Purchased with the assistance of Lady Rothenstein and  Art Fund"
"record/dimensions/0/dimension","Height"
"record/dimensions/0/value","196"
"record/dimensions/0/unit","mm"
"record/dimensions/0/qualifier","maximum"
"record/dimensions/0/date/text","26/06/2013"
"record/dimensions/0/date/earliest","2013-06-26"
"record/dimensions/0/date/latest","2013-06-26"
"record/dimensions/0/part",""
"record/dimensions/0/note",""
"record/dimensions/1/dimension","Width"
"record/dimensions/1/value","124"
"record/dimensions/1/unit","mm"
"record/dimensions/1/qualifier","maximum"
"record/dimensions/1/date/text","26/06/2013"
"record/dimensions/1/date/earliest","2013-06-26"
"record/dimensions/1/date/latest","2013-06-26"
"record/dimensions/1/part",""
"record/dimensions/1/note",""
"record/dimensionsNote","26/06/2013 dimensions measured as part of Indian Paintings Cataloguing Project 2013"
"record/objectHistory","Formerly in the Rothenstein collection."
"record/historicalContext",""
"record/briefDescription","Painting, unveiling of Draupadi, opaque watercolour on paper, Guler, ca. 1740"
"record/bibliographicReferences/0/reference/text",""
"record/bibliographicReferences/0/reference/id",""
"record/bibliographicReferences/0/details",""
"record/bibliographicReferences/0/free","D. Coomaraswamy, Rajput Painting, II Pl."
"record/bibliographicReferences/1/reference/text","Indian paintings from the Punjab Hills : a survey and history of Pahari miniature painting / by W. G. Archer ; foreword by Sherman E. Lee. London :Delhi: Sotheby Parke Bernet ;Oxford University Press, 1973 Number: 0856670022"
"record/bibliographicReferences/1/reference/id","AUTH338527"
"record/bibliographicReferences/1/details","p. 149, cat. no. 14"
"record/bibliographicReferences/1/free",""
"record/production",""
"record/productionType/text",""
"record/productionType/id",""
"record/contentDescription","The unveiling of Draupadi."
"record/contentPerson/0/text","Draupadi"
"record/contentPerson/0/id","N4053"
"record/contentPerson/1/text","Duryodhana"
"record/contentPerson/1/id","N7928"
"record/contentOthers/0/text","princess"
"record/contentOthers/0/id","AAT155241"
"record/partNumbers/0","IS.131-1951"
"record/accessionNumberNum","131"
"record/accessionNumberPrefix","IS"
"record/accessionYear","1951"
"record/copyNumber",""
"record/aspects/0","WHOLE"
"record/recordModificationDate","2024-04-18"
"record/recordCreationDate","2009-06-25"
