Image,Object type,Museum number,Title,Denomination,Escapement,Description,Producer name,School/style,State,Authority,Ethnic name (made by),Ethnic name (assoc),Culture,Production date,Production place,Find spot,Materials,Ware,Type series,Technique,Dimensions,Inscription,Curators Comments,Bib references,Location,Exhibition history,Condition,Subjects,Assoc name,Assoc place,Assoc events,Assoc titles,Acq name (acq),Acq name (finding),Acq name (excavator),Acq name (previous),Acq date,Acq notes (acq),Acq notes (exc),Dept,BM/Big number,Reg number,Add ids,Cat no,Banknote serial number,Joined objects
,album; miniature; painting,"No: 1999,1202,0.1.10",The month of Ashadha. June/July. (Object),,,"Painting from an album bound in red striped fabric containing 14 miniatures; with 11 Baramasa (Song of the seasons) paintings (paintings 2 to 12), 1 from Mewar, 2 from thikanas. Opaque watercolour on paper.
This is the month preceding the rainy season when the stifling heat quells all vigorous activity. The nayaka and nayika languidly listen to music while lady attendants fan them. Viṣṇu and Lakṣmī sleep on Śeṣa, the serpent, and ascetics are shown worshipping indoors in the shade.",,,,,,,,1700-1725 (circa),Made in: Amber (?),,textile; paper,,,painted,"Height: 28.70 centimetres painting including grey and white margins. ; Width: 19.80 centimetres painting including grey and white margins ","Inscription type: inscription Inscription position: first page Inscription language: Hindi Inscription script: Devanagari Inscription note: Mentions 12 baramasa paintings, the first painting is wrongly included; Inscription type: inscription Inscription position: top Inscription language: Braj Bhasa Inscription script: Devanagari Inscription translation: Strong winds blow in this month. In such weather only a man of feeble mind will depart leaving wife and home. Even the mendicants use only one asana (yogic position) these days, that is they avoid going from place to place to beg. Birds do not leave their nests. Lord Visnu and Lakshmi spend their time in bed. The poet Keshavdas says that even the sacred Vedas (the word here is sruti meaning that which is heard, referring to the most sacred and ancient books of the Hindus) and gathas (old stories) do not speak of anyone leaving home in this month. Inscription note: Verse from poet Keshavdas' Baramasa (song of the seasons).","Paintings 2 to 12: The Maharajas of Amber (later Jaipur) served under Mughal armies in the Deccan for prolonged periods of time. This may have led to Deccani influences in their works. See Ebeling, K. 1973, p.79 and Pratapaditya Pal, 'Pleasure Gardens of the Mind, Indian Paintings from the Jane Greenough Green Collection', Los Angeles, 1993, p.105, for examples of Amber paintings from this period.",Ebeling 1973 / Ragmala Painting; Pal 1993 / Pleasure Gardens of the Mind: Indian Paintings from the Jane Greenough Green Collection,Not on display,,,lotus blossom; dancer; actor/actress; seasons; hindu deity; attendant; literature,Associated with: Viṣṇu;  Associated with: Lakṣmī;  Associated with: Śeṣanāga/Seshanaga,,,Baramasa,Donated by: Anonymous,,,,1999,,,Asia,,"1999,1202,0.1.10",,,
https://media.britishmuseum.org/media/Repository/Documents/2014_10/9_9/de902fa9_1eca_42f1_a195_a3bf00971765/preview_00495466_001.jpg,album; painting,"No: 1999,1202,0.5.3",The month of Kartika. October/November (Object),,,"One of a series of eight paintings bound in an album. The series are from a 'Baramasa' set or 'Songs of the seasons' providing visual imagery for Baramasa poetry. The main theme is that of nayakas' and nayikas' (lovers) love in union and in separation and their relationship with the months of the year.
Radha and Krishna stand on a white terraced pavilion in a house lit with oil lamps indicating the celebration of the festival of Diwali. The black sky studded with stars, and nearby town lit with lamps (on which they gaze) indicate a night scene. Radha and Krishna are shown again in the same architectural setting in a room playing a board game that looks like chess. Radha is seen making a move while lady musicians entertain the couple. Gambling at Diwali is a ritual in order to propitiate Lakshmi, Goddess of Wealth. Another couple are seen in miniature in the foreground playing chaupar, a popular game. In the foreground ladies bathe in a lotus filled pool before a shrine housing a linga and yoni, emblem of Śiva and Parvati. The lush foliage of the trees and exuberant flowering creepers separate the pavilion from the gaily lit town seen in the far distance.",Author: Keśavdās (Author of the verses only.),,,,,,,1675-1700 (circa),Made in: Bundi District,,paper,,,painted,Height: 30.50 centimetres page ; Height: 21.20 centimetres painting including black and white margins ; Width: 17.30 centimetres; Width: 21.60 centimetres,"Inscription type: inscription Inscription position: top Inscription language: Braj Bhasa Inscription script: Devanagari Inscription translation: Woods, gardens, rivers, earth and sky are clear and shine brightly, illuminated by small oil lamps used during the festival of Diwali. Days and nights are joyous with the festivities; couples gamble. Walls and courtyards of every house are decorated with colourful paintings of Gods and Goddesses. Celestial light pervades the entire Universe and all men and women have love in their hearts. This is the month whereby religious merit can be earned by performing sacred baths, giving alms to the poor and worshipping God. Keshavdas says that the nayika implores her lover not to leave in the month of Kartika. Inscription note: Poetry on Baramasa by Keśavdās of Orccha. Translation taken from Dwivedi, V.P., 'Barahmasa. The Song of Seasons in Literature and Art.' 1980.; Inscription type: inscription Inscription position: top of image Inscription language: Braj Bhasa Inscription script: Devanagari Inscription note: A couplet by the poet Bihari","This series seems to be drawn, composed and coloured by one artist and is so similar to a Bundi Baramasa painting in Pal, P. 'Dancing to the Flute', p.88, as to suggest them belonging to the same series.  The similarity in foliage depiction, architectural details such as the predominant use of white and green, patterning on walls and rooftops, Krishna's face presenting a distinctive profile with large Bundi eye and prominent nose in all paintings in this series point to the hand of one master artist. Krishna's crown on top of an orange turban is present in all of the paintings including the one in Pal, '97, which  further corroborates these belonging to the same series.

This early Bundi series has a vibrant spirit that is imparted by the interplay of brilliant colours, intense emotional cross currents between the lovers that convey the bhakti or devotion of the times, and a lyricism that makes the paintings come alive. The emphasis on diagonal lines impart movement; the lush vegetation and sensuous figures all contribute to the dynamic vibrancy of these works. The figures are modelled and shaded after Mughal painting to impart volume.; YSharma:
A couplet by Bihari is appended to Keshavdas' verse describing the month of Kartika.",Pal 1993 / Pleasure Gardens of the Mind: Indian Paintings from the Jane Greenough Green Collection; Blurton 2006 / Bengali Myths,Not on display,"Exhibited:
2022 Jun - 2022 Nov, London, BM, G33, rotation
2007  Aug-Nov   London, The British Museum, Faith, Narrative and Desire.",,lotus blossom; dancer; actor/actress; poetry; seasons; avatar; deity; musician,Associated with: Keśavdās (Author of the verses in the painting.),,,Baramasa (Songs of the Seasons),Donated by: Anonymous,,,,1999,,,Asia,,"1999,1202,0.5.3",,,
,album; miniature; painting,"No: 1999,1202,0.1.6",The month of Kartika. October/November (Object),,,"Painting from an album bound in red striped fabric containing 14 miniatures; with 11 Baramasa (Song of the seasons) paintings (paintings 2 to 12), 1 from Mewar, 2 from thikanas. Opaque watercolour on paper.
The festival of Diwali, festival of lights, symbolising the triumph of good over evil is being celebrated in this painting. Oil lamps are lit at sunset. The two men in the foreground are bathing in the sacred Ganges in order to earn merit; a Brahmin seated in a pavilion worships his deity. Gambling during Diwali night is a ritual in order to propitiate Lakṣmī, Goddess of Wealth. The couple are gambling while playing chaupar, a popular Indian game.",,,,,,,,1700-1725 (circa),Made in: Amber (?),,textile; paper,,,painted,"Height: 28.30 centimetres painting including grey and white margins. ; Width: 20 centimetres painting including grey and white margins ","Inscription type: inscription Inscription position: first page Inscription language: Hindi Inscription script: Devanagari Inscription note: Mentions 12 baramasa paintings, the first painting is wrongly included; Inscription type: inscription Inscription position: top Inscription language: Braj Bhasa Inscription script: Devanagari Inscription translation: Woods, gardens, rivers, earth and sky are clear and shine brightly, illuminated by small oil lamps used during the festival of Diwali. Days and nights are joyous with festivities; couples gamble. Walls and courtyards of every house are decorated with colourful paintings of Gods and Goddesses. Celestial light pervades the entire Universe and all men and women have love in their hearts. This is the month whereby religious merit can be earned by performing sacred baths, giving alms to the poor and worshipping God. Keshavdas says that the nayika implores her lover not to leave in the month of Kartika. Inscription note: Verse from Keshavdas' Baramasa.","Paintings 2 to 12: The Maharajas of Amber (later Jaipur) served under Mughal armies in the Deccan for prolonged periods of time. This may have led to Deccani influences in their works. See Ebeling, K. 1973, p.79 and Pratapaditya Pal, 'Pleasure Gardens of the Mind, Indian Paintings from the Jane Greenough Green Collection', Los Angeles, 1993, p.105 for examples of Amber paintings from this period.",Ebeling 1973 / Ragmala Painting,Not on display,,,lotus blossom; dancer; actor/actress; seasons; hindu deity; literature,Associated with: Lakṣmī,,,Baramasa,Donated by: Anonymous,,,,1999,,,Asia,,"1999,1202,0.1.6",,,
https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_2/7bcaa729_575d_4b4c_878a_a3bb00233053/preview_00288372_001.jpg,album; painting,"No: 1999,1202,0.5.6",The month of Jyestha. May/June. (Object),,,"One of a series of eight paintings bound in an album. The series are from a 'Baramasa' set or 'Songs of the seasons' providing visual imagery for Baramasa poetry. The main theme is that of nayakas' and nayikas' (lovers) love in union and in separation and their relationship with the months of the year.

The bright scorching sun of summer is painted in a clear still blue sky. Krishna and Radha inebriated from the heat are fanned by lady attendants seated under what appears to be a thatched awning erected during the summer months to provide shade. In front of the terrace water fountains cool the seated couple. A lady attendant gestures invitingly to the bed chamber in which an ornate, gold covered bed with cushions await the lovers. In the foreground an elephant, tiger and birds all head toward a pond in order to cool themselves from the scorching heat, while a snake takes shelter under a bush. Beyond a garden wall men rest exhausted from the heat; another man and his bullock cart head for the well.",Author: Keśavdās (Author of the verses only),,,,,,,1675-1700 (circa),Made in: Bundi District,,,,,painted,Height: 30.30 centimetres page ; Height: 26 centimetres painting including black and white margins ; Width: 18.50 centimetres; Width: 22.50 centimetres,"Inscription type: inscription Inscription position: front page Inscription quoted: Album no.10; Inscription type: inscription Inscription position: top Inscription language: Braj Bhasa Inscription script: Devanagari Inscription translation: The sun is so bright and scorching that the five elements -- air, water, sky, earth and fire have become one, that is as hot as fire. The roads are deserted and the tanks are parched dry. Seeing that the elephants do not venture out. The cobra and lions sleep inside shelter in this weather. Powerful creatures become weak in this season and the whole world is at unrest. The poet Keshavdas says that the elders are of the opinion that one should not venture outdoors in this season. Inscription note: Poetry on Baramasa by Keshavdas of Orccha. Translation taken from Dwivedi, V.P., 'Barahmasa. The Song of Seasons in Literature and Art.' 1980.","This series seems to be drawn, composed and coloured by one artist and is so similar to a Bundi Baramasa painting in Pal, P. 'Dancing to the Flute', p.88, as to suggest them belonging to the same series.  The similarity in foliage depiction, architectural details such as the predominant use of white and green, patterning on walls and rooftops, Krishna's face presenting a distinctive profile with large Bundi eye and prominent nose in all paintings in this series point to the hand of one master artist. Krishna's crown on top of an orange turban is present in all of the paintings including the one in Pal, '97, which  further corroborates these belonging to the same series.

This early Bundi series has a vibrant spirit that is imparted by the interplay of brilliant colours, intense emotional cross currents between the lovers that convey the bhakti or devotion of the times, and a lyricism that makes the paintings come alive. The emphasis on diagonal lines impart movement; the lush vegetation and sensuous figures all contribute to the dynamic vibrancy of these works. The figures are modelled and shaded after Mughal painting to impart volume.",Pal 1993 / Pleasure Gardens of the Mind: Indian Paintings from the Jane Greenough Green Collection; Blurton 2006 / Bengali Myths,Not on display,"Exhibited:
2007  Aug-Nov, London, The British Museum, Faith, Narrative and Desire.",,lotus blossom; dancer; actor/actress; poetry; seasons; avatar; deity; attendant,Associated with: Keśavdās (Author of the verses only),,,Baramasa (Songs of the Seasons),Donated by: Anonymous,,,,1999,,,Asia,,"1999,1202,0.5.6",,,
https://media.britishmuseum.org/media/Repository/Documents/2014_9/30_8/0d4b1abb_05c9_4e1f_b18e_a3b6009025ff/preview_00184354_001.jpg,album; painting,"No: 1999,1202,0.5.1",The month of Phalgun. February/March (Object),,,"One of a series of eight paintings bound in an album. The series are from a 'Baramasa' set or 'Songs of the seasons' providing visual imagery for Baramasa poetry. The main theme is that of nayakas' and nayikas' (lovers) love in union and in separation and their relationship with the months of the year.
Under a starry, moonlit sky Radha and Krishna as nayika (heroine) and nayaka (hero) are shown twice here. In the foreground they play holi with women on a terrace, squirting coloured liquid at each other through golden syringes. Seated on a terraced pavilion they play with a child being presented to them by a woman. Below the pavilion revellers make merry while a bonfire burns in the distance.The white architecture with zigzagging yellow, orange and maroon decorations painted as borders on walls, serves as a convenient backdrop for the festivities. A peacock and peahen perched on the rooftop are awakened by the noise of the revellers below. Lit oil lamps and flares indicate the late hour as do the stars and moon in the night sky. Fountains are painted around the terrace in the foreground. The blue skinned Krishna, avatara of Visnu , wears a golden crown with three lotuses on top of an orange turban, gold slippers and a transparent white jama over gaily striped pyjamas. Radha and the women wear brightly coloured skirts, blouses and transparent veils outlined in gold paint. Gold is also used on the orange awning, chair, the bonfire, lamps and architectural details giving the painting an opulent look.",Author: Keśavdās (Author of the verses only),,,,,,,1675-1700 (circa),Made in: Bundi District,,,,,painted,Height: 30.50 centimetres page ; Height: 26.30 centimetres painting including black and white margins ; Width: 17.30 centimetres; Width: 21.50 centimetres,"Inscription type: inscription Inscription position: front page Inscription quoted: Album no.10; Inscription type: inscription Inscription position: top Inscription language: Braj Bhasa Inscription script: Devanagari Inscription translation: Rich and poor make merry without a care in the world. Speech is free and unrestrained. Young men and women in every home play holi with great abandon, snatching at each others garments and smearing each others faces with coloured powder. The fragrance of the scented powders (gulal, abira etc.) fill the air. The nayika (female) says to the nayaka (male) 'In such a season of merry making, you should not think of leaving home, my love.' Inscription note: Poetry on Baramasa by Keshavdas of Orchha (samvat 1612-1674.)  Translation taken from Dwivedi, V.P., 'Barahmasa. The Song of Seasons in Literature and Art'. Agam Kala Prakashan. 1980.","This series seems to be drawn, composed and coloured by one artist and is so similar to a Bundi Baramasa painting in Pal, P. 'Dancing to the Flute', p.88, as to suggest them belonging to the same series.  The similarity in foliage depiction, architectural details such as the predominant use of white and green, patterning on walls and rooftops, Krishna's face presenting a distinctive profile with large Bundi eye and prominent nose in all paintings in this series point to the hand of one master artist. Krishna's crown on top of an orange turban is present in all of the paintings including the one in Pal, '97, which  further corroborates these belonging to the same series.

This early Bundi series has a vibrant spirit that is imparted by the interplay of brilliant colours, intense emotional cross currents between the lovers that convey the bhakti or devotion of the times, and a lyricism that makes the paintings come alive. The emphasis on diagonal lines impart movement; the lush vegetation and sensuous figures all contribute to the dynamic vibrancy of these works. The figures are modelled and shaded after Mughal painting to impart volume.",Pal 1993 / Pleasure Gardens of the Mind: Indian Paintings from the Jane Greenough Green Collection,Not on display,"2007  Aug-Nov, London, The British Museum, Faith, Narrative and Desire.",,lotus blossom; dancer; actor/actress; poetry; seasons; avatar; deity,Associated with: Keśavdās (Author of the verses only),,,Baramasa (Songs of the Seasons),Donated by: Anonymous,,,,1999,,,Asia,,"1999,1202,0.5.1",,,
https://media.britishmuseum.org/media/Repository/Documents/2014_11/2_22/ff2c16fe_2eef_4007_98ed_a3d70176c06b/preview_01098183_001.jpg,album; painting,"No: 1999,1202,0.5.8",The month of Chaitra. March/April. (Object),,,"One of a series of eight paintings bound in an album. The series are from a 'Baramasa' set or 'Songs of the seasons' providing visual imagery for Baramasa poetry. The main theme is that of nayakas' and nayikas' (lovers) love in union and in separation and their relationship with the months of the year.

Peacocks and birds, parrots and nightingales abound amidst lush foliage separating two architectural structures. In the left building sit Radha and Krishna fanned by an attendant. They gaze into each others eyes, Krishna holds a flower while Radha offers him delicacies. The bedchamber below them is ready, symbolic of love in union. The pavilion on the right depicts another amorous nayaka and nayika.",Author: Keśavdās (Author of the verses only),,,,,,,1675-1700 (circa),Made in: Bundi District,,,,,painted,Height: 30.20 centimetres page ; Height: 25.20 centimetres painting including black and white margins ; Width: 17.60 centimetres; Width: 22 centimetres,"Inscription type: inscription Inscription position: front page Inscription quoted: Album no.10; Inscription type: inscription Inscription position: top Inscription language: Braj Bhasa Inscription script: Devanagari Inscription translation: The charming creepers and young trees have blossomed. Rivers and ponds are overflowing with water. Ladies aglow with passion worship their husbands. The parrot, sarikas (bird of the same family as a parrot) and nightingales chirp, for it is spring. The poet Keshavdas says that in this month no one should embrace the thorns (of separation) leaving the flowers (of union.)  One should not go out and should be firm in this resolve in the month of Chaitra. Inscription note: Poetry on Baramasa by Keshavdas of Orccha. Translation taken from Dwivedi, V.P., 'Barahmasa. The Song of Seasons in Literature and Art.' 1980.","This series seems to be drawn, composed and coloured by one artist and is so similar to a Bundi Baramasa painting in Pal, P. 'Dancing to the Flute', p.88, as to suggest them belonging to the same series.  The similarity in foliage depiction, architectural details such as the predominant use of white and green, patterning on walls and rooftops, Krishna's face presenting a distinctive profile with large Bundi eye and prominent nose in all paintings in this series point to the hand of one master artist. Krishna's crown on top of an orange turban is present in all of the paintings including the one in Pal, '97, which  further corroborates these belonging to the same series.

This early Bundi series has a vibrant spirit that is imparted by the interplay of brilliant colours, intense emotional cross currents between the lovers that convey the bhakti or devotion of the times, and a lyricism that makes the paintings come alive. The emphasis on diagonal lines impart movement; the lush vegetation and sensuous figures all contribute to the dynamic vibrancy of these works. The figures are modelled and shaded after Mughal painting to impart volume.",Pal 1993 / Pleasure Gardens of the Mind: Indian Paintings from the Jane Greenough Green Collection; Blurton 2006 / Bengali Myths,Not on display,"Exhibited:
2007  Aug-Nov, London, The British Museum, Faith, Narrative and Desire.",,lotus blossom; dancer; actor/actress; poetry; seasons; avatar; deity; attendant,Associated with: Keśavdās (Author of the verses only),,,Baramasa (Songs of the Seasons),Donated by: Anonymous,,,,1999,,,Asia,,"1999,1202,0.5.8",,,
https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_20/b8e815cc_86d8_40eb_9bc7_a3bb0154a8f7/preview_00374627_001.jpg,album; painting,"No: 1974,0617,0.10.33",Hindu and Persian Miniatures and Penmanship (Series),,,"Shírín mourning the death of Farhád; single-page painting mounted on album folio. Shirin, crying, kneels over Farhad lying dead on the ground while her attendants stand behind her. Horse in foreground by a stream. Hilly landscape with trees and animals. Gold border with colourful floral design and thin red border. Inscribed. Album contains 62 paintings and calligraphies. 
Ink, opaque watercolour and gold on paper. Album covers painted with various hunting scenes.",,,,,,,Islamic,18thC,Made in: Awadh (historic),,paper,,,painted; gilded,"Height: 26 centimetres image with borders ; Height: 22.50 centimetres image ; Height: 39.40 centimetres manuscript ; Height: 38.10 centimetres page ; Thickness: 4 centimetres manuscript ; Width: 18.50 centimetres image with borders ; Width: 15.20 centimetres image ; Width: 30 centimetres manuscript ; Width: 28 centimetres page ","Inscription type: inscription Inscription position: centre of image, right of Shirin Inscription language: Persian Inscription quoted: [سيري[ن Inscription transliteration: shiri[n]; Inscription type: inscription Inscription position: centre right edge, above Farhad's leg Inscription language: Persian Inscription quoted: فرحاد Inscription transliteration: farhad","See 1974,0617,0.10 .1-.62 for all folios included in this album.
See 1974,0617,0.10.34 for image mounted on reverse of this folio.
For spine, front inside cover and front matter inscriptions, see 1974,0617,0.10.1.",,Not on display,,,persian myth/legend; literature; death,Representation of: Shirin;  Representation of: Farhád;  Illustration to: Khamsa,,,Khamsa (Khamseh) of Nizami,Transferred from: British Library,,,,1974,"From an album reputed to have been in the collection of the Rohilla ruler Hafiz Rahmat Khan (1723–1774). Later owned by Busick Harwood (1750-1814), an English surgeon in India from 1773-8. According to an inscription on a flyleaf, Harwood purchased the volume ‘from a sepoy officer who had taken it out of the library of Hafez Rahmat’ at the time he was killed in April 1774. Purchased by the British Museum at Sotheby's and Co, 21st June 1858, Lot 1019. Formerly Album 22,470 / Or 55d, transferred from the Department of Oriental Manuscripts and Printed Books (OMPB) in 1974.",,Middle East,,"1974,0617,0.10.33","Miscellaneous number: 22,470; Miscellaneous number: Or 55d",,
https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_5/ddacc2de_0da1_4f5f_b4b4_a3bb0055e7b1/preview_00302813_001.jpg,album; miniature; painting,"No: 1999,1202,0.1.11",The month of Vaisakh. April/May. (Object),,,"Painting from an album bound in red striped fabric containing 14 miniatures; with 11 Baramasa (Song of the seasons) paintings (paintings 2 to 12), 1 from Mewar, 2 from thikanas. Opaque watercolour on paper.
The blue and gold shaded sky heralds the month of Vaisakh, the spring season, preceding the stiflingly hot summer months. The shield near the nayaka, the sword by his side and the kirpan (dagger) tucked into his belt suggest that he is about to leave for war. The foreground depicts travellers, one of whom is blindfolded suggesting that he is as blinded by the pain of separation from his beloved, as the bee who, while sucking nectar, does not see the lotus flower closing around him at sunset. The forlorn nayika seated alone in a pavilion in the foreground is sad as she is separated from her beloved.",,,,,,,,1700-1725 (circa),Made in: Amber (?),,textile; paper,,,painted,"Height: 28.70 centimetres painting including grey and white margins. ; Width: 20.10 centimetres painting including grey and white margins ","Inscription type: inscription Inscription position: first page Inscription language: Hindi Inscription script: Devanagari Inscription note: Mentions 12 baramasa paintings, the first painting is wrongly included; Inscription type: inscription Inscription position: top Inscription language: Braj Bhasa Inscription script: Devanagari Inscription translation: The earth and sky are filled with fragrant breezes blowing gently. All around there is fragrant beauty. But the fragrance is blinding for the bee and painful for the lover who is away from home. The nayika says to her beloved, 'I pray you having taught me the pleasures of love making, do not talk of leaving in the month of Vaisakh, as the arrows of Kama (the God of love) are hard to bear in separation. Inscription note: Verse from poet Keshavdas' Baramasa (song of the seasons).","Paintings 2 to 12: The Maharajas of Amber (later Jaipur) served under Mughal armies in the Deccan for prolonged periods of time. This may have led to Deccani influences in their works. See Ebeling, K. 1973, p.79 and Pratapaditya Pal, 'Pleasure Gardens of the Mind, Indian Paintings from the Jane Greenough Green Collection', Los Angeles, 1993, p. 105, for examples of Amber paintings from this period.","Ebeling 1973 / Ragmala Painting; Ahluwalia 2008 / Rajput Painting: Romantic, Divine and Courtly Art from India",Not on display,,,lotus blossom; dancer; actor/actress; seasons; deity; literature,,,,Baramasa,Donated by: Anonymous,,,,1999,,,Asia,,"1999,1202,0.1.11",,,
https://media.britishmuseum.org/media/Repository/Documents/2014_10/4_21/2ca383d3_e68a_45c7_8da7_a3ba0164c8a0/preview_00264892_001.jpg,album; painting,"No: 1920,0917,0.296",,,,"Album leaf, detached from album; painting. Literature (?). A lady sleeping besides a prince on a rock near a river with attendants. On paper.",,,,,,,Mughal dynasty,17thC(late),Made in: India,Found/Acquired: India,paper,,,painted,"Height: 24 centimetres image ; Height: 41.90 centimetres sheet ; Width: 12.80 centimetres image ; Width: 26.50 centimetres sheet ",,,,Not on display,"2022 Jun - 2022 Nov, London, BM, G33, rotation",,prince/princess; attendant; literature,,,,,Transferred from: British Library,,,Previous owner/ex-collection: Hon Sir Charles Augustus Murray,1920,"From an album of 51 folios (Or 1372, 1920,0917,0.255-303) acquired by the British Museum in 1875 from Sir Charles Murray (1806-1895). Transferred from the Department of Oriental Manuscripts and Printed Books (OMPB) in 1920.",,Middle East,,"1920,0917,0.296",,,
https://media.britishmuseum.org/media/Repository/Documents/2018_6/19_10/def52098_a846_40cb_bc67_a90400a6ffff/preview_RFI35244.jpg,album; painting,"No: 1999,1202,0.5.7",The month of Vaisakh. April/may. (Object),,,"One of a series of eight paintings bound in an album. The series are from a 'Baramasa' set or 'Songs of the seasons' providing visual imagery for Baramasa poetry. The main theme is that of nayakas' and nayikas' (lovers) love in union and in separation and their relationship with the months of the year.

Spring, a time for love in union is symbolically depicted by showing Kama the God of Love, perched atop a lush green forest, taking aim with his bow and arrow at Krishna and Radha seated in a pavilion to the left of the illustration. Radha echoes Keshav's verses by pointing to Kama --""the arrows of Kama are hard to bear in separation""-- while entreating Krishna not to leave. Travellers are seen in the foreground, some walking some in a boat on a river. To the right of the picture plane ladies perform pūjā under a tree, symbol of fertility, as it is the spring season. Two peasants draw water from the river with the help of bullocks harnessed to a device. A pink brick zigzagging wall separates the painting vertically, a departure from the usual convention of horizontal demarcation.",Author: Keśavdās (Author of the verses only),,,,,,,1675-1700 (circa),Made in: Bundi District,,,,,painted,Height: 30.20 centimetres page ; Height: 25.20 centimetres painting including black and white margins ; Width: 17.60 centimetres; Width: 22 centimetres,"Inscription type: inscription Inscription position: front page Inscription quoted: Album no.10; Inscription type: inscription Inscription position: top Inscription language: Braj Bhasa Inscription script: Devanagari Inscription translation: The earth and sky are filled with fragrant breezes blowing gently. All around there is fragrant beauty. But the fragrance is blinding for the bee and painful for the lover who is away from home. The nayika says to her beloved, 'I pray you having taught me the pleaures of love making, do not talk of leaving in the month of Vaisakh, as the arrows of Kama are hard to bear in separation.' Inscription note: Poetry on Baramasa by Keshavdas of Orccha. Translation taken from Dwivedi, V.P., 'Barahmasa. The Song of Seasons in Literature and Art.' 1980.","This series seems to be drawn, composed and coloured by one artist and is so similar to a Bundi Baramasa painting in Pal, P. 'Dancing to the Flute', p.88, as to suggest them belonging to the same series.  The similarity in foliage depiction, architectural details such as the predominant use of white and green, patterning on walls and rooftops, Krishna's face presenting a distinctive profile with large Bundi eye and prominent nose in all paintings in this series point to the hand of one master artist. Krishna's crown on top of an orange turban is present in all of the paintings including the one in Pal, '97, which  further corroborates these belonging to the same series.

This early Bundi series has a vibrant spirit that is imparted by the interplay of brilliant colours, intense emotional cross currents between the lovers that convey the bhakti or devotion of the times, and a lyricism that makes the paintings come alive. The emphasis on diagonal lines impart movement; the lush vegetation and sensuous figures all contribute to the dynamic vibrancy of these works. The figures are modelled and shaded after Mughal painting to impart volume.",Pal 1993 / Pleasure Gardens of the Mind: Indian Paintings from the Jane Greenough Green Collection; Blurton 2006 / Bengali Myths,Not on display,"Exhibited:
2007  Aug-Nov, London, The British Museum, Faith, Narrative and Desire.",,lotus blossom; dancer; actor/actress; poetry; seasons; avatar; deity; boat/ship; arms/armour,Associated with: Keśavdās (Author of the verses only),,,Baramasa (Songs of the Seasons),Donated by: Anonymous,,,,1999,,,Asia,,"1999,1202,0.5.7",,,
