Latitude Coordinate,Longitude Coordinate,Present Region Name,Location Name,Place name,Title
28.65,77.23,Delhi,Indraprastha,Mughal empire,"""Rajasuya"""
26.58,73.83,Rajasthan,Matsya Kingdom,Mughal empire,"""Bhima and Kichaka"""
26.58,73.83,Rajasthan,Upaplavya,Mughal empire,"""Yudhisthira"""
26.58,73.83,Rajasthan,Kamyaka Forest,Mughal empire,"""Three males in conference"""
26.58,73.83,Rajasthan,,Rajasthan,
27.25,80.75,Uttar Pradesh,Hastinapur,Mughal empire,"""Krishna"""
27.25,80.75,Uttar Pradesh,Panchala,Mughal empire,"""Draupadi"""
27.25,80.75,Uttar Pradesh,Nishadha Kingdom,Mughal empire,"""A gathering of nobles"""
27.25,80.75,Uttar Pradesh,Mathura,Mughal empire,"""Krishna and Kamsa"""
30.25,79.25,Uttarakhand ,Panchala,,"""A gathering of nobles"""
29.25,76.33,Haryana ,Kurukshetra,Mughal empire,"""Bhima and Duhshashana"""
29.25,76.33,Haryana ,Kurukshetra,,"""A battle scene - Karna and Bhima"""
29.25,76.33,Haryana ,Kurukshetra,,"""Bhisma"""
29.25,76.33,Haryana ,Kurukshetra,,"""Bhima and Aswathama"""
29.25,76.33,Haryana ,Kurukshetra,,"""Bhima and Duryodhana"""
30.92,75.42,Punjab,Kurukshetra,Mughal empire,"""Bhima and Duhshashana"""
30.92,75.42,Punjab,Kurukshetra,,"""A battle scene - Karna and Bhima"""
30.92,75.42,Punjab,Kurukshetra,,"""Bhisma"""
30.92,75.42,Punjab,Kurukshetra,,"""Bhima and Aswathama"""
30.92,75.42,Punjab,Kurukshetra,,"""Bhima and Duryodhana"""
23.50,78.50,Madhya Pradesh,Magadha Kingdom,Mughal empire,"""Bhima and Jarasandha"""
23.50,78.50,Madhya Pradesh,Nishadha Kingdom,Mughal empire,
23.00,71.75,Gujarat,Dwarka,Mughal empire,"""Krishna at Rest - An episode from the Mahabharata"""
33.53,75.41,Jammu and Kashmir,Madra Kingdom,Mughal empire,
30.85,72.32,Punjab (Pakistan),Madra Kingdom,Mughal empire,
30.85,72.32,Punjab (Pakistan),Sindhu Kingdom,Mughal empire,
19.50,76.00,Maharashtra,Vidarbha Kingdom,,
26.00,93.00,Assam,Kamrup / Pragjyotisha,,
31.33,76.75,,,Bilaspur,
32.00,76.15,,,Guler,
32.17,76.25,,,Kangra,
12.23,76.42,,,Mysore,
22.56,88.36,,,Kolkata,
24.00,88.00,West Bengal,,Bengal,
26.92,75.79,,,Jaipur,
