Title,Credit Line,Acquisition Notes,Acquisition Details,Acquisition Date,Object History,Condition,Reference Material,Author Name,Publisher,Date of Publication
"""Shírín mourning the death of Farhád""","""British Library""","""From an album reputed to have been in the collection of the Rohilla ruler Hafiz Rahmat Khan (1723–1774). Later owned by Busick Harwood (1750-1814), an English surgeon in India from 1773-8. According to an inscription on a flyleaf, Harwood purchased the volume ‘from a sepoy officer who had taken it out of the library of Hafez Rahmat’ at the time he was killed in April 1774. Purchased by the British Museum at Sotheby's and Co, 21st June 1858, Lot 1019. Formerly Album 22,470 / Or 55d, transferred from the Department of Oriental Manuscripts and Printed Books (OMPB) in 1974.""",,1974,,,,,,
"""A lady sleeping besides a prince""","""British Library""","""From an album of 51 folios (Or 1372, 1920,0917,0.255-303) acquired by the British Museum in 1875 from Sir Charles Murray (1806-1895). Transferred from the Department of Oriental Manuscripts and Printed Books (OMPB) in 1920.""",,1920,"""Hon Sir Charles Augustus Murray""",,,,,
"""Khusrau watching Shirin""","""British Library""","""From an album reputed to have been in the collection of the Rohilla ruler Hafiz Rahmat Khan (1723–1774). Later owned by Busick Harwood (1750-1814), an English surgeon in India from 1773-8. According to an inscription on a flyleaf, Harwood purchased the volume ‘from a sepoy officer who had taken it out of the library of Hafez Rahmat’ at the time he was killed in April 1774. Purchased by the British Museum at Sotheby's and Co, 21st June 1858, Lot 1019. Formerly Album 22,470 / Or 55d, transferred from the Department of Oriental Manuscripts and Printed Books (OMPB) in 1974.""",,1974,,,,,,
"""Khusrau watching Shirin""","""B Zuasitch""",,,,,,,,,
"""Two miniatures-A man and fox, A woman and cobra""","""British Library""","""Folio 20 of an album formerly in the collection of Antoine Polier, later acquired by William Beckford. Acquired by the British Museum from Bernard Quaritch in 1860.
27 folios with 36 paintings. Previously known as album Add 23610 / Or 65c. Transferred from the Department of Oriental Manuscripts and Printed Books (OMPB). Now 1920,0917,0.76-111.""",,1920,"""Col Anthony Polier and W Bechford""",,,,,
"""Farhad and Khusrau""","""British Library""","""From an album of 51 folios (Or 1372, 1920,0917,0.255-303) acquired by the British Museum in 1875 from Sir Charles Murray (1806-1895). Transferred from the Department of Oriental Manuscripts and Printed Books (OMPB) in 1920.""",,1920,"""Hon Sir Charles Augustus Murray""",,"""Paintings from the Muslim courts of India: an exhibition held in the Prints & Drawings Gallery, British Museum""","""Pinder-Wilson""","""World of Islam Festival Publishing Company Limited""",1976
"""Farhad and Khusrau""",,,,,,,"""Mughal Miniatures (Eastern Art)""","""Rogers""","""British Museum Press""",1993
"""Kundalini""","""Dr Francesca Fremantle""","""Acquired by the donor from the artist in Calcutta.""",,2003,,,,,,
"""Boshonto""","""Dr Francesca Fremantle""","""Acquired by the donor from the artist in Calcutta.""",,2003,,"""The surface of the canvas is cockled at the edges""",,,,
"""A scene from a romance""","""Percival Chater Manuk and Gertrude Mary Coles""",,"""Funded by Art Fund (as NACF)""",1948,,,,,,
