Material Type,Title,Style Name
paper,"""Shírín mourning the death of Farhád""","""Islamic"""
ink,"""Shírín mourning the death of Farhád""","""Islamic"""
opaque watercolour,"""Shírín mourning the death of Farhád""","""Islamic"""
gold,"""Shírín mourning the death of Farhád""","""Islamic"""
paper,"""A lady sleeping besides a prince""","""Mughal dynasty"""
paper,"""Khusrau watching Shirin""","""Islamic"""
ink,"""Khusrau watching Shirin""","""Islamic"""
gold,"""Khusrau watching Shirin""","""Islamic"""
opaque watercolour,"""Khusrau watching Shirin""","""Islamic"""
paper,"""Two miniatures-A man and fox, A woman and cobra""","""Mughal dynasty"""
opaque watercolour,"""Two miniatures-A man and fox, A woman and cobra""","""Mughal dynasty"""
paper,"""Farhad and Khusrau""","""Mughal dynasty"""
opaque watercolour,"""Farhad and Khusrau""","""Mughal dynasty"""
canvas,"""Kundalini""",
canvas,"""Boshonto""",
paper,"""A scene from a romance""",
paper,"""Sultan Abdullah Qutub Shah""","""Islamic"""
paper,"""Court scene with Sultan Abdullah Qutub Shah""","""Late Islamic"""
ink,"""Court scene with Sultan Abdullah Qutub Shah""","""Late Islamic"""
opaque watercolour,"""Court scene with Sultan Abdullah Qutub Shah""","""Late Islamic"""
gold,"""Court scene with Sultan Abdullah Qutub Shah""","""Late Islamic"""
canvas,"""Heavily abstracted and sexual imagery""",
paper,"""Ascetics presenting fish to Iskandar""","""Jahangir reign"""
paper,"""Palace scene with Sultan Abdullah Qutub Shah""","""Late Islamic"""
gold,"""Palace scene with Sultan Abdullah Qutub Shah""","""Late Islamic"""
opaque watercolour,"""Palace scene with Sultan Abdullah Qutub Shah""","""Late Islamic"""
ink,"""Palace scene with Sultan Abdullah Qutub Shah""","""Late Islamic"""
paper,"""Bahram Gur hunting with Dilaram""","""Mughal dynasty"""
ink,"""Bahram Gur hunting with Dilaram""","""Mughal dynasty"""
opaque watercolour,"""Bahram Gur hunting with Dilaram""","""Mughal dynasty"""
gold,"""Bahram Gur hunting with Dilaram""","""Mughal dynasty"""
paper,"""Two lovers sit on a bed""","""Mughal dynasty"""
paper,"""An illustration from the Rasamanjari""",
paper,"""An illumination from the Kalpasutra""",
paper,"""A court interior with the ruler ""","""Late Islamic"""
gold,"""A court interior with the ruler ""","""Late Islamic"""
opaque watercolour,"""A court interior with the ruler ""","""Late Islamic"""
ink,"""A court interior with the ruler ""","""Late Islamic"""
paper,"""Garden scene with Sultan Abdullah Qutub Shah""","""Late Islamic"""
gold,"""Garden scene with Sultan Abdullah Qutub Shah""","""Late Islamic"""
opaque watercolour,"""Garden scene with Sultan Abdullah Qutub Shah""","""Late Islamic"""
ink,"""Garden scene with Sultan Abdullah Qutub Shah""","""Late Islamic"""
paper,"""Bhils having killed a black buck""","""Islamic"""
paper,"""Based on tantric ideas""",
