Subject Categories,Title
persian myth/legend,"""Shírín mourning the death of Farhád"""
literature,"""Shírín mourning the death of Farhád"""
literature,"""A lady sleeping besides a prince"""
persian myth/legend,"""Khusrau watching Shirin"""
literature,"""Khusrau watching Shirin"""
literature,"""Two miniatures-A man and fox, A woman and cobra"""
literature,"""Farhad and Khusrau"""
tantric,"""Kundalini"""
tantric,"""Boshonto"""
literature,"""A scene from a romance"""
literature,"""Sultan Abdullah Qutub Shah"""
literature,"""Court scene with Sultan Abdullah Qutub Shah"""
tantric,"""Heavily abstracted and sexual imagery"""
literature,"""Ascetics presenting fish to Iskandar"""
literature,"""Palace scene with Sultan Abdullah Qutub Shah"""
literature,"""Bahram Gur hunting with Dilaram"""
literature,"""Two lovers sit on a bed"""
literature,"""An illustration from the Rasamanjari"""
literature,"""An illumination from the Kalpasutra"""
jainism,"""An illumination from the Kalpasutra"""
literature,"""A court interior with the ruler """
literature,"""Garden scene with Sultan Abdullah Qutub Shah"""
literature,"""Bhils having killed a black buck"""
tantric,"""Based on tantric ideas"""
